id,genre,distance,dept,population,naissance,groupe,sp_2019,sp_2020,sp_2021,pc_2019,pc_2020,pc_2021,ih_2019,ih_2020,ih_2021,ic_2019,ic_2020,ic_2021,ap_2019,ap_2020,ap_2021,qe_2019,qe_2020,qe_2021,tor_2020,tor_2021,R0_2021,incid_2021,diffact_sansap_c2,diffact_sansap_c1,diffact_ap_c2,diffact_ap_c1
234,H,112,76,1250846,1989,LREM,15,3,4,31,3,0,23,0,84,113,2,0,75,2,88,3,1,3,0.298311731950845,0.675793010752688,0.895294117647059,203.018331665752,-0.016231884057971,0.0833333333333333,0.0153623188405797,8.66666666666667
235,H,9,93,1669340,1967,UDI,9,15,2,5,22,1,38,77,11,0,24,0,23,51,18,6,3,16,1.02830887227349,1.0399977500914,0.871176470588235,355.424435009022,-0.155409356725146,0.130995670995671,-0.167805746249682,0.00131992190815714
236,H,426,24,410730,1972,LREM,15,4,5,25,6,0,8,6,2,12,4,0,3,2,10,1,0,1,0.22658568594992,0.45587874517173,0.912941176470588,116.784855879163,-0.683333333333333,-0.604166666666667,-0.180555555555555,0.316666666666667
237,H,201,14,692839,1973,MODEM,13,4,5,24,4,0,19,31,3,18,5,0,43,36,25,15,12,10,0.298311731950845,0.675793010752688,0.895294117647059,139.237910007239,-0.758164642375169,-0.563978494623656,-0.701571310506439,-0.520908004778972
238,F,9,93,1669340,1961,LREM,14,4,5,11,7,0,4,9,7,9,0,0,0,3,31,3,1,0,1.02830887227349,1.0399977500914,0.871176470588235,355.424435009022,-0.578571428571429,-0.493055555555556,-0.578571428571429,1.47222222222222
239,H,11,94,1418572,1951,LR,12,9,6,18,6,0,0,3,0,25,10,0,1,3,0,4,2,7,1.02830887227349,1.0399977500914,0.871176470588235,319.327982110136,-0.4375,-0.166666666666667,-0.55,-0.305555555555556
240,H,686,6,1089270,1938,LR,7,1,0,5,0,0,0,0,0,5,0,0,0,0,0,5,16,5,0.386057486809591,0.872598761103319,0.83,170.144174312737,-0.75,-0.84375,-0.75,-0.84375
242,H,1,75,2142366,1974,LREM,14,4,7,22,1,0,37,1,1,13,0,0,20,0,8,0,0,0,1.02830887227349,1.0399977500914,0.871176470588235,274.420411467969,-0.868243243243243,-0.0833333333333333,-0.814594594594594,-0.0833333333333333
243,F,111,45,683998,1982,LREM,12,7,4,22,11,0,21,4,6,13,1,0,43,2,31,7,17,13,0.446746885133982,0.788410991636798,0.891176470588235,166.73945420544,-0.504761904761905,-0.432773109243697,-0.467146548541897,2.05602240896359
244,F,548,81,389420,1965,LREM,13,8,7,30,11,0,18,16,10,13,2,0,1,6,37,6,0,7,0.265829104201909,0.545100607957897,0.893529411764706,146.870023138284,-0.547863247863248,-0.625,5.54344729344729,0.533333333333333
245,F,482,38,1271078,1958,LREM,11,4,4,28,4,0,22,0,0,11,1,0,0,0,0,0,0,0,0.509411006597803,0.78410035201108,0.885294117647059,160.10960981775,-0.909090909090909,-0.666666666666667,-0.909090909090909,-0.666666666666667
246,F,499,33,1654445,1968,LREM,11,3,3,23,6,0,11,0,0,30,0,0,16,9,21,5,3,9,0.22658568594992,0.45587874517173,0.912941176470588,118.710134656272,-0.585454545454546,0.333333333333333,-0.435795454545455,0.583333333333333
248,H,1,75,2142366,1967,LREM,9,9,4,9,12,0,1,2,10,3,7,0,12,6,67,2,1,2,1.02830887227349,1.0399977500914,0.871176470588235,274.420411467969,1.28888888888889,0.488888888888889,1.83796296296296,2.10185185185185
249,H,147,51,561705,1962,LREM,12,5,5,17,5,0,8,0,5,5,4,0,4,1,27,0,14,2,0.926480683150818,0.716473002659267,0.885882352941176,167.981378386271,-0.739583333333333,-0.714285714285714,0.558333333333333,4.62857142857143
250,H,32,95,1260042,1962,MODEM,12,11,4,23,16,0,71,121,9,40,20,0,44,112,94,0,0,0,1.02830887227349,1.0399977500914,0.871176470588235,345.754112544811,-0.884976525821596,-0.890495867768595,-0.48070849338455,-0.744539551357733
251,H,327,25,543221,1957,LREM,14,0,3,19,0,0,76,0,4,84,0,0,71,2,4,6,4,0,0.625025795590312,0.696937113066145,0.895294117647059,198.25239980708,-0.946616541353383,-1,-0.94612411309965,0
252,H,379,22,599118,1956,LR,12,17,7,26,29,3,456,346,478,11,30,0,150,186,895,19,19,24,0.268914158654302,0.497061263772733,0.920588235294118,108.878378066379,-0.397975708502024,-0.368025246669065,0.496131354026091,0.328616953940654
253,F,162,62,1455018,1968,NI,9,7,2,8,2,0,10,22,6,2,1,0,47,28,27,7,12,6,0.584143642727381,1.14755609564492,0.855882352941176,238.569303289365,-0.664126984126984,-0.788311688311688,-0.624361139254756,-0.662878787878788
