id,genre,distance,dept,population,naissance,groupe,pc_2019,pc_2020,ih_2019,ih_2020,ic_2019,ic_2020,sp_2019,sp_2020,qe_2019,qe_2020,ap_2019,ap_2020,tor
316,H,9,93,1669340,1958,LFI,30,20,166,212,50,32,22,22,4,13,45,90,0.670052702578345
317,H,400,56,763103,1968,LREM,20,13,4,0,15,0,16,10,6,4,5,5,0.169444376715242
318,H,352,79,374350,1986,NI,60,10,48,96,55,1,25,10,12,1,22,90,0.150776358147393
319,H,392,69,1892753,1971,LREM,40,8,11,1,35,1,20,9,8,5,19,7,0.324581145286322
320,F,482,38,1271078,1953,LREM,96,29,4,9,54,1,25,13,10,0,7,0,0.324581145286322
321,H,246,53,305424,1966,SOC,39,7,48,13,26,1,22,10,9,11,16,33,0.221624069339017
322,H,485,29,914301,1984,AE,27,8,6,9,24,0,18,9,10,9,26,0,0.169444376715242
323,H,485,29,914301,1971,MODEM,41,22,95,171,93,2,23,19,6,3,82,50,0.169444376715242
324,H,115,80,567242,1968,LR,31,6,6,21,21,1,16,7,14,8,50,27,0.379909828123325
325,H,9,93,1669340,1962,GDR,21,25,221,93,48,39,21,22,25,26,213,73,0.670052702578345
326,H,281,57,1038440,1971,MODEM,64,12,22,30,64,1,21,15,18,5,43,2,0.552756977921241
329,H,360,90,138589,1966,UDI,31,7,38,16,28,0,21,11,18,7,65,2,0.372406088535121
330,F,327,25,543221,1984,LREM,27,11,13,19,9,0,22,11,7,0,7,33,0.372406088535121
331,H,281,57,1038440,1986,LR,52,28,119,30,42,1,22,16,23,26,127,85,0.552756977921241
332,H,577,84,560719,1978,LR,72,16,225,153,397,3,20,19,22,11,85,114,0.274464560017555
333,F,147,51,561705,1987,AE,14,11,4,25,3,2,18,16,4,3,3,26,0.552756977921241
334,H,1,75,2142366,1977,AE,22,15,32,32,31,6,22,14,18,13,74,31,0.670052702578345
336,F,544,82,262254,1973,SOC,41,38,154,188,46,10,22,24,11,5,166,107,0.177860462273925
337,F,343,44,1458768,1962,LREM,35,12,18,25,19,0,16,10,0,9,95,65,0.221624069339017
339,H,918,2A,162753,1967,LT,16,4,53,12,19,0,17,7,12,3,54,76,0.337544193304562
341,F,477,26,523122,1979,LREM,31,5,28,0,18,0,21,6,7,0,14,0,0.324581145286322
342,H,204,59,2598299,1969,GDR,9,14,56,116,7,28,16,18,10,8,21,145,0.379909828123325
343,H,499,33,1654445,1983,LT,27,6,23,0,56,1,19,6,12,4,153,0,0.150776358147393
344,H,1,75,2142366,1958,LREM,23,29,97,96,0,1,22,23,1,0,0,0,0.670052702578345
345,F,308,35,1094636,1964,LREM,27,10,9,11,3,0,20,14,1,0,4,0,0.169444376715242
347,H,294,86,438869,1954,LT,20,11,45,3,22,5,19,10,2,0,8,4,0.150776358147393
348,F,11,94,1418572,1989,LFI,27,37,208,102,69,19,24,23,9,11,142,80,0.670052702578345
349,H,392,69,1892753,1958,LREM,8,5,11,0,4,0,12,8,0,0,3,2,0.324581145286322
350,F,347,63,669477,1964,SOC,35,23,78,157,48,37,21,17,10,28,46,147,0.324581145286322
353,F,482,38,1271078,1982,LREM,64,3,17,3,134,0,23,8,1,0,25,48,0.324581145286322
354,H,577,84,560719,1957,LR,30,6,11,0,13,2,13,5,18,18,4,7,0.274464560017555
356,H,343,44,1458768,1954,LREM,28,8,2,2,3,0,20,7,22,18,2,3,0.221624069339017
357,H,308,35,1094636,1977,LREM,37,17,23,12,41,0,23,11,3,2,20,40,0.169444376715242
358,H,327,25,543221,1960,LREM,17,6,8,0,4,0,18,5,20,10,4,0,0.372406088535121
360,F,653,64,688589,1954,MODEM,25,5,4,1,14,0,16,6,0,2,2,1,0.150776358147393
361,H,265,49,819528,1967,MODEM,33,12,17,4,33,1,19,7,0,4,38,12,0.221624069339017
362,H,661,13,2048395,1965,LR,16,14,20,48,29,4,18,16,3,14,53,71,0.274464560017555
363,H,149,89,333006,1977,LR,23,17,11,7,17,1,19,12,21,7,7,8,0.372406088535121
364,H,216,58,199518,1964,LREM,30,8,4,0,9,0,21,8,13,4,0,0,0.372406088535121
365,F,499,33,1654445,1978,LREM,31,12,6,32,20,1,20,14,1,0,30,14,0.150776358147393
366,F,9365,974,857809,1961,LR,27,1,29,3,55,0,11,4,17,7,172,18,0.0996163974274573
367,H,661,13,2048395,1975,GDR,70,37,194,239,131,11,24,22,28,37,164,94,0.274464560017555
368,F,111,45,683998,1973,LREM,25,4,170,12,149,0,18,9,6,4,28,1,0.284554287664887
370,H,1,75,2142366,1978,LREM,17,31,695,533,0,1,19,25,5,18,0,1,0.670052702578345
371,H,205,37,609408,1955,LREM,21,26,25,68,22,13,17,19,4,10,11,21,0.284554287664887
372,H,594,40,416825,1971,LREM,43,10,17,6,20,0,25,11,12,16,59,46,0.150776358147393
373,H,397,67,1147474,1960,LREM,12,21,9,2,20,2,12,14,0,2,0,0,0.552756977921241
374,F,18,78,1452910,1962,LREM,24,7,3,5,14,0,19,7,17,10,12,5,0.670052702578345
375,H,495,46,174208,1986,LR,8,3,27,29,13,0,18,16,40,5,11,7,0.177860462273925
376,H,11,92,1633100,1962,LREM,29,11,65,12,37,3,19,15,2,0,0,0,0.670052702578345
377,H,26,91,1315456,1961,NI,9,11,19,93,7,14,15,20,17,29,3,30,0.670052702578345
378,F,281,57,1038440,1968,LREM,23,23,6,0,12,3,18,13,6,7,1,0,0.552756977921241
379,H,162,62,1455018,1967,AE,31,18,3,3,12,1,20,14,14,10,12,49,0.379909828123325
380,H,204,59,2598299,1971,AE,31,15,51,60,91,0,19,18,17,8,95,50,0.379909828123325
381,F,90,27,595037,1962,LREM,64,24,50,37,56,3,20,14,18,5,54,29,0.187244440787068
382,H,9,93,1669340,1976,LREM,43,10,8,1,15,1,19,8,0,6,6,2,0.670052702578345
383,F,436,74,838480,1966,LREM,34,4,7,1,13,0,21,6,7,2,85,32,0.324581145286322
384,H,42,77,1432475,1960,LR,13,7,0,0,1,0,20,7,7,10,2,0,0.670052702578345
385,H,588,31,1424915,1972,NI,14,15,18,22,5,1,15,9,14,30,39,63,0.177860462273925
386,H,595,34,1196633,1972,LREM,29,15,4,4,11,2,21,10,4,2,8,0,0.177860462273925
387,H,410,42,765283,1979,LREM,29,18,39,6,30,0,20,12,21,17,36,6,0.324581145286322
389,H,534,47,329874,1979,LREM,21,8,2,2,6,0,19,9,8,0,14,6,0.150776358147393
390,F,32,95,1260042,1980,LREM,30,11,26,1,10,0,19,8,8,1,0,0,0.670052702578345
391,F,499,33,1654445,1986,LREM,52,17,166,10,191,0,23,13,1,7,242,0,0.150776358147393
392,F,696,83,1084890,1987,LREM,24,6,4,0,13,0,20,7,4,6,17,4,0.274464560017555
393,H,400,56,763103,1951,LREM,86,24,0,1,41,1,21,15,5,1,2,10,0.169444376715242
394,H,499,33,1654445,1974,LREM,29,18,35,0,36,4,21,9,6,3,49,2,0.150776358147393
395,F,204,59,2598299,1977,LT,36,11,4,21,17,0,20,15,14,2,15,28,0.379909828123325
396,H,160,41,326375,1976,LR,10,1,0,16,0,0,12,3,14,15,2,1,0.284554287664887
397,H,9,93,1669340,1968,LFI,16,9,119,141,44,58,22,18,22,27,14,72,0.670052702578345
398,H,204,59,2598299,1966,AE,6,16,5,17,1,4,13,17,3,38,0,60,0.379909828123325
399,F,11,92,1633100,1981,GDR,43,18,76,87,35,0,24,19,9,12,40,87,0.670052702578345
400,H,301,23,114505,1977,LREM,38,19,15,7,28,0,21,12,1,1,4,19,0.150776358147393
402,H,399,17,652474,1946,LR,37,14,3,3,20,5,17,12,24,25,0,0,0.150776358147393
403,F,696,83,1084890,1983,LREM,27,7,22,1,10,0,18,6,8,2,2,0,0.274464560017555
404,F,9,93,1669340,1973,LFI,14,11,75,76,21,4,17,17,15,27,20,13,0.670052702578345
407,H,204,59,2598299,1952,GDR,21,2,71,49,41,0,20,11,15,15,2,24,0.379909828123325
408,F,686,6,1089270,1986,LR,44,10,17,5,16,0,16,9,8,27,113,24,0.274464560017555
409,H,454,73,437659,1970,LR,40,6,25,7,49,2,23,10,28,13,344,55,0.324581145286322
410,H,6856,972,354824,1953,SOC,36,4,22,20,682,1,12,7,3,0,9,5,0.243582147499198
411,H,281,54,729737,1970,MODEM,22,1,51,0,65,0,21,2,25,26,58,0,0.552756977921241
412,H,141,10,310147,1952,LR,35,4,24,6,78,1,19,6,18,9,52,11,0.552756977921241
414,F,393,16,348997,1974,LREM,29,5,9,1,7,0,23,7,4,3,1,0,0.150776358147393
417,F,18,78,1452910,1964,MODEM,74,19,41,33,78,0,24,17,2,2,54,49,0.670052702578345
418,H,393,16,348997,1986,LREM,46,27,314,50,354,0,21,16,4,1,149,18,0.150776358147393
420,H,426,24,410730,1948,MODEM,24,9,12,4,19,0,18,11,23,19,59,2,0.150776358147393
